contract,type,target,corr
ag2508.SF,top,au2508.SF,0.58
ag2508.SF,top,cu2507.SF,0.56
ag2508.SF,top,y2601.DF,0.43
ag2508.SF,top,sn2507.SF,0.4
ag2508.SF,top,p2601.DF,0.38
ag2508.SF,top,al2507.SF,0.37
ag2508.SF,top,ss2508.SF,0.36
ag2508.SF,top,l2601.DF,0.35
ag2508.SF,top,ni2507.SF,0.34
ag2508.SF,top,pb2507.SF,0.33
ag2508.SF,bottom,RM509.ZF,0.0
ag2508.SF,bottom,JR507.ZF,0.0
ag2508.SF,bottom,SF509.ZF,0.0
ag2508.SF,bottom,WH507.ZF,0.0
ag2508.SF,bottom,ZC507.ZF,0.0
ag2508.SF,bottom,jd2508.DF,-0.01
ag2508.SF,bottom,c2509.DF,-0.05
ag2508.SF,bottom,fb2510.DF,-0.05
ag2508.SF,bottom,ps2507.GF,-0.06
ag2508.SF,bottom,wr2510.SF,-0.14
al2507.SF,top,l2601.DF,0.67
al2507.SF,top,cu2507.SF,0.65
al2507.SF,top,zn2507.SF,0.62
al2507.SF,top,CF509.ZF,0.54
al2507.SF,top,pp2509.DF,0.51
al2507.SF,top,TA509.ZF,0.5
al2507.SF,top,i2601.DF,0.5
al2507.SF,top,ss2508.SF,0.49
al2507.SF,top,p2601.DF,0.49
al2507.SF,top,v2601.DF,0.49
al2507.SF,bottom,jd2508.DF,0.02
al2507.SF,bottom,JR507.ZF,0.0
al2507.SF,bottom,PM507.ZF,0.0
al2507.SF,bottom,RI507.ZF,0.0
al2507.SF,bottom,ZC507.ZF,0.0
al2507.SF,bottom,LR507.ZF,0.0
al2507.SF,bottom,WH507.ZF,0.0
al2507.SF,bottom,a2507.DF,-0.01
al2507.SF,bottom,wr2510.SF,-0.07
al2507.SF,bottom,fb2510.DF,-0.25
ao2509.SF,top,v2601.DF,0.49
ao2509.SF,top,ps2507.GF,0.38
ao2509.SF,top,j2601.DF,0.36
ao2509.SF,top,l2601.DF,0.33
ao2509.SF,top,al2507.SF,0.31
ao2509.SF,top,i2601.DF,0.28
ao2509.SF,top,pp2509.DF,0.28
ao2509.SF,top,hc2510.SF,0.28
ao2509.SF,top,FG509.ZF,0.27
ao2509.SF,top,rb2510.SF,0.25
ao2509.SF,bottom,JR507.ZF,0.0
ao2509.SF,bottom,RI507.ZF,0.0
ao2509.SF,bottom,WH507.ZF,0.0
ao2509.SF,bottom,a2507.DF,-0.01
ao2509.SF,bottom,fb2510.DF,-0.03
ao2509.SF,bottom,au2508.SF,-0.04
ao2509.SF,bottom,SR509.ZF,-0.06
ao2509.SF,bottom,b2507.DF,-0.07
ao2509.SF,bottom,m2601.DF,-0.08
ao2509.SF,bottom,RM509.ZF,-0.08
au2508.SF,top,ag2508.SF,0.58
au2508.SF,top,cu2507.SF,0.31
au2508.SF,top,sn2507.SF,0.22
au2508.SF,top,y2601.DF,0.22
au2508.SF,top,bu2509.SF,0.19
au2508.SF,top,a2507.DF,0.18
au2508.SF,top,pb2507.SF,0.15
au2508.SF,top,pg2507.DF,0.13
au2508.SF,top,m2601.DF,0.12
au2508.SF,top,zn2507.SF,0.12
au2508.SF,bottom,rb2510.SF,-0.12
au2508.SF,bottom,hc2510.SF,-0.13
au2508.SF,bottom,CJ509.ZF,-0.13
au2508.SF,bottom,jm2509.DF,-0.16
au2508.SF,bottom,SM509.ZF,-0.17
au2508.SF,bottom,SA509.ZF,-0.17
au2508.SF,bottom,SF509.ZF,-0.18
au2508.SF,bottom,j2601.DF,-0.19
au2508.SF,bottom,v2601.DF,-0.22
au2508.SF,bottom,ps2507.GF,-0.31
br2507.SF,top,l2601.DF,0.66
br2507.SF,top,ru2509.SF,0.62
br2507.SF,top,PR509.ZF,0.58
br2507.SF,top,eg2509.DF,0.52
br2507.SF,top,PX509.ZF,0.52
br2507.SF,top,TA509.ZF,0.52
br2507.SF,top,eb2507.DF,0.49
br2507.SF,top,ps2507.GF,0.46
br2507.SF,top,PF507.ZF,0.45
br2507.SF,top,i2601.DF,0.44
br2507.SF,bottom,JR507.ZF,0.0
br2507.SF,bottom,LR507.ZF,0.0
br2507.SF,bottom,RI507.ZF,0.0
br2507.SF,bottom,a2507.DF,-0.01
br2507.SF,bottom,RS507.ZF,-0.01
br2507.SF,bottom,jd2508.DF,-0.02
br2507.SF,bottom,lh2509.DF,-0.05
br2507.SF,bottom,m2601.DF,-0.05
br2507.SF,bottom,au2508.SF,-0.09
br2507.SF,bottom,fb2510.DF,-0.22
bu2509.SF,top,fu2509.SF,0.8
bu2509.SF,top,TA509.ZF,0.67
bu2509.SF,top,l2601.DF,0.66
bu2509.SF,top,sc2507.INE,0.65
bu2509.SF,top,PR509.ZF,0.62
bu2509.SF,top,PX509.ZF,0.62
bu2509.SF,top,p2601.DF,0.59
bu2509.SF,top,pp2509.DF,0.59
bu2509.SF,top,MA509.ZF,0.55
bu2509.SF,top,eg2509.DF,0.53
bu2509.SF,bottom,JR507.ZF,0.0
bu2509.SF,bottom,rr2508.DF,-0.0
bu2509.SF,bottom,RI507.ZF,0.0
bu2509.SF,bottom,WH507.ZF,0.0
bu2509.SF,bottom,ZC507.ZF,0.0
bu2509.SF,bottom,LR507.ZF,0.0
bu2509.SF,bottom,ps2507.GF,-0.0
