,ag2508.SF,al2507.SF,ao2509.SF,au2508.SF,br2507.SF,bu2509.SF,cu2507.SF,fu2507.SF,hc2510.SF,ni2507.SF,pb2507.SF,rb2510.SF,ru2509.SF,sn2507.SF,sp2507.SF,ss2507.SF,wr2510.SF,zn2507.SF,a2509.DF,b2508.DF,bb2511.DF,c2509.DF,cs2507.DF,eb2507.DF,eg2509.DF,fb2510.DF,i2601.DF,j2601.DF,jd2507.DF,jm2509.DF,l2601.DF,lg2507.DF,lh2509.DF,m2601.DF,p2601.DF,pg2507.DF,pp2509.DF,rr2507.DF,v2601.DF,y2601.DF,AP510.ZF,CF509.ZF,CJ509.ZF,CY509.ZF,FG509.ZF,JR507.ZF,LR507.ZF,MA509.ZF,OI509.ZF,PF507.ZF,PK510.ZF,PM507.ZF,PR507.ZF,PX509.ZF,RI507.ZF,RM509.ZF,RS507.ZF,SA509.ZF,SF509.ZF,SH509.ZF,SM509.ZF,SR509.ZF,TA509.ZF,UR509.ZF,WH507.ZF,ZC506.ZF,lc2507.GF,ps2507.GF,si2507.GF,sc2507.INE
ag2508.SF,1.0,0.3773189710439494,0.025895797398542683,0.5883320627935721,0.15844568871088918,0.30184118672718885,0.561266685802169,0.21573877915245365,0.18763668788593013,0.3353118915342283,0.3350794167752282,0.1836661968857289,0.14591919619525842,0.3984003543621391,0.2042028697991396,0.3284517663215524,-0.14601012885921597,0.3062571478476186,0.09611265458875791,0.11677897326168986,0.0963099179137802,-0.05038027064498008,0.036115885703533815,0.17476775954695145,0.18256866911176897,-0.05978230477074853,0.23177204676806124,0.06510699991745426,0.02490934899326164,0.15359520309090516,0.35602247520200264,0.1798543597110321,0.026498713584638352,0.16360975829373237,0.3824093956467533,0.17106935132493806,0.17306535289460148,-0.054990128141143235,0.13911827677620756,0.431704315398699,0.037847552557489256,0.2767777689306461,0.10256382423475598,0.14431012992499884,0.11010545510199546,,,0.252184325362971,0.03699746390581749,0.14669017265162576,0.16240929467346796,,0.2632270130505192,0.22263968664299472,,0.00461278042119179,0.05413744251084628,0.049704025461100865,-0.0039012465033904536,0.024940926340558202,0.055609199893602,0.19850151972656874,0.1973813508130343,0.05952889035626419,,,0.15368855209085658,-0.065523907907657,0.1304077475776318,0.15667267254520775
al2507.SF,0.3773189710439494,1.0,0.3113178294818405,0.10862906757936325,0.3595425605397628,0.397970378874951,0.6590599517538729,0.3810230550224521,0.36332492505306013,0.4469631599150875,0.3949145010206898,0.37035519238778664,0.45014952234196665,0.36242719497731823,0.3459424956154018,0.42045847924141216,-0.07383433500502747,0.6240653801131729,0.0031378107041318136,0.15633960435440614,0.04770509266331865,0.06795229528109906,0.13018294366083297,0.44000599768764587,0.4810585643610899,-0.2539330009603148,0.4950534521400663,0.38559234829257316,0.08532448847439994,0.3635538099951327,0.6872157371138455,0.19848453742633346,0.08606692838490339,0.0525437215192225,0.52896936298927,0.24844106349908035,0.5072073094272581,0.041580744435011655,0.49120705521842056,0.44332907047095904,0.18316943132978886,0.5436629765156132,0.32783899668742705,0.3394936110125996,0.26216428906328887,,,0.4806912069414756,0.2464390641027937,0.3684821936375254,0.2719067382319486,,0.5095929842256478,0.4502389026925934,,0.06981295009960652,0.14570146017010344,0.2646257689349325,0.22243631205371744,0.14634039678583066,0.23839642185111987,0.3247351339773403,0.5053683839122135,0.22137468524156964,,,0.1694535345821518,0.35134655526756625,0.23267135514941645,0.25206089825448563
ao2509.SF,0.025895797398542683,0.3113178294818405,1.0,-0.039907564875222276,0.15583830890905007,0.03904084638483908,0.1209432196862564,0.09983728847580277,0.27584172995826717,0.1645123917699341,0.08095506982486712,0.24872793088796605,0.16334461960228633,0.006446685737522625,0.09925341208779526,0.22780965475265158,0.05299177981553826,0.236367265870858,0.01215073287764088,-0.04213884866159725,0.20065251459873448,0.04602274239961883,-0.0030785984554489664,0.22730597935328967,0.21501594666088708,-0.028113307426744543,0.2798729525801537,0.3675849003793574,-0.01995018375819249,0.21060726080237807,0.3260317851452771,0.21350593130047277,0.024068526238327583,-0.07797230876169724,0.10622261369702601,0.08710308999758003,0.27693159041736637,0.13429386990928724,0.4938480408625471,0.13765461815726562,0.09249099326950212,0.16419779004997645,0.14982816291461343,0.18652354443533709,0.26665314809107815,,,0.20528036565473096,0.04825042406665415,0.16245207797903166,0.123230631982292,,0.15551837518534117,0.15039108158192402,,-0.07605002671667851,0.023357005517451845,0.19476047079447134,0.16263332341883774,0.22344888968164472,0.21168737416915087,-0.05586328067742507,0.14077891984705915,0.09033296667719759,,,0.017184529267173548,0.38472989855396067,0.22881735859477997,0.0761148946231915
au2508.SF,0.5883320627935721,0.10862906757936325,-0.039907564875222276,1.0,-0.0823750802647798,0.17974682468727804,0.3145614981952065,0.13053682957171378,-0.12674470538214416,0.10869817152156828,0.15085482380600826,-0.11806547980305827,-0.08089330178130087,0.2158475153017914,0.0048384646531737545,0.11426988376331182,-0.05848353540423147,0.10969684347856232,0.1613604168081744,0.08283157671996405,-0.006547792838965468,0.013902108882588441,0.031348651488949615,0.003327991762361413,-0.04356421222256382,0.035228153327087744,-0.04119357683971903,-0.1782326951726294,0.015535331294274778,-0.1551916501045001,-0.06035842582755061,-0.015063979695462087,0.0234522308270074,0.11817143486664146,0.0832801422973557,0.13075452871239926,-0.07184748927866734,-0.06343888750406036,-0.21878831980215555,0.21142333327565296,0.093615470990535,-0.057926851419403805,-0.12995870594042983,-0.0483066539537751,-0.08003103661868216,,,-0.0054193966527974315,0.10107679264766635,-0.06419961014325323,-0.043073690320027905,,0.02309478932338569,-0.017480893573105297,,-0.01618790138686666,0.04407071297556685,-0.17354640959455672,-0.16598886421030978,-0.1264462298744056,-0.16638816968257678,0.11672764641873436,-0.036110690840360296,0.029525460668628815,,,-0.06782936593645474,-0.32429644445233463,-0.03387067295462878,0.10567182096211117
br2507.SF,0.15844568871088918,0.3595425605397628,0.15583830890905007,-0.0823750802647798,1.0,0.31096602001141926,0.38991371067867847,0.2848169509210555,0.4089868823130159,0.21682324321080965,0.15137989352296038,0.40363086011847876,0.6141076083471683,0.29280898281686973,0.3422190814019331,0.34367665748513815,0.015796035110861792,0.28163749184386044,0.038919434710503194,0.16341132742713316,0.0384329197749344,0.12614011391816138,0.10435012645939234,0.4984987345272046,0.5179595002881872,-0.22949704398908174,0.4476586903754024,0.34988300973317393,0.03942339621184277,0.3705643522715281,0.6634721630490051,0.23978265815603994,-0.04385323653091317,-0.05096724933999133,0.3949184002717375,0.22192036533453485,0.4322563483349405,0.04399652882821501,0.40123253679277937,0.3951183062982942,0.1266954671858763,0.39003625983316725,0.23904699011376132,0.33502972637924683,0.3139982099919552,,,0.3544773554859599,0.22040419393345967,0.449044894082332,0.17632078587772101,,0.4344310191564198,0.5249288168342097,,0.13248437858404857,-0.01523626358404368,0.27188081339035386,0.28264777604983987,0.22899498464108622,0.25113222945117664,0.2903064640531552,0.5258315280059555,0.2198178744418106,,,0.2120650618832572,0.4555601818838847,0.22188920150860542,0.29857526269252127
bu2509.SF,0.30184118672718885,0.397970378874951,0.03904084638483908,0.17974682468727804,0.31096602001141926,1.0,0.47660476760581166,0.8048281394810637,0.28045415816215374,0.34856345178143316,0.3494037715824624,0.28752258939195013,0.3934920558781065,0.36556765502944066,0.36780067451126147,0.37454958328095544,-0.09146916654866435,0.3622923346019397,-0.011077056344215245,0.13968004832527695,0.18695407519073667,0.11904883817030114,0.05191530478906189,0.46260119913303804,0.5490501497729549,-0.07813390485723254,0.4408733914626366,0.24428794494329895,0.042941173302146654,0.25391356129418735,0.6617974179761629,0.2180623043116748,0.010385847591663682,-0.0595191840324808,0.5886071147615782,0.48543500342697093,0.5956642223817591,-0.04409619991181772,0.34781598207149955,0.46894276966350534,0.04823621069289044,0.4024249818578221,0.11879667255414574,0.3735969361954787,0.15113063785244335,,,0.5549878894524132,0.20161503765346078,0.534615824015933,0.27216750378690757,,0.6214160803210937,0.6258776668383732,,0.058903373408061975,0.017711464749757263,0.10120250633859987,0.25507576284008837,0.18393820393170918,0.14813200454516606,0.3530360404500184,0.6751528203338792,0.17968904528696547,,,0.1542929985808861,0.026357735099504672,0.1636632133892079,0.6445519741003308
cu2507.SF,0.561266685802169,0.6590599517538729,0.1209432196862564,0.3145614981952065,0.38991371067867847,0.47660476760581166,1.0,0.3698533137424496,0.4463235758353888,0.5316841906689748,0.5024288890203145,0.43523342177598373,0.5441846791749451,0.4365730313926915,0.396809217936657,0.5555327970373106,-0.13563628007392092,0.6598777478666419,-0.001322835449359035,0.08058705639723054,0.01749034529201562,0.06865278075722163,0.10267432730642823,0.42507402054870114,0.5532295968805212,-0.18036427550964007,0.5003308853843238,0.3336857572240586,-0.019572196191874218,0.3754467380336631,0.6897167493575159,0.2038582398417607,0.03797743375289246,-0.07169706241591922,0.43351666274437267,0.19262287271266784,0.46036085234551594,0.09026990233624906,0.41573944015006375,0.4185048180400573,0.18216690157462642,0.5370187164585075,0.2567652942444793,0.42591165521394714,0.34324981190219833,,,0.490081015336962,0.19554408316974622,0.38063113004190735,0.20990076963524584,,0.5208479660543298,0.46765353773319884,,0.00863700708276596,0.09525334867169771,0.2956955946390958,0.23928332659266835,0.18252654806077004,0.2934279074869298,0.360736983979302,0.48358822018588915,0.24678313095914176,,,0.20071373417027744,0.17706993409493135,0.15765731938636246,0.30076969548942767
fu2507.SF,0.21573877915245365,0.3810230550224521,0.09983728847580277,0.13053682957171378,0.2848169509210555,0.8048281394810637,0.3698533137424496,1.0,0.2854626232801782,0.31049581925016106,0.29424189074330004,0.28673387737509815,0.20838616466567977,0.3635755273995134,0.3363667572396148,0.28380452944821827,-0.05186460259638397,0.3226689096286134,-0.07345195046409696,0.1612005418499752,0.13103572099300187,-0.015861873232606193,0.00783457642040315,0.4888336900762651,0.49527967682598006,-0.06428293108266413,0.4469414080777613,0.2741891347924694,0.03776482870267973,0.21174615534252977,0.6423720254130888,0.27834341529097134,0.022396465248988424,-0.049486686313718005,0.5892522616641224,0.5507652626726245,0.6061657873076,-0.023822084684296974,0.34519936384333927,0.4937450981654438,0.08497180882190268,0.33678019305542367,0.060838571640352494,0.3522625276923798,0.09257118500673267,,,0.5046578713758881,0.23870037970327868,0.5173508006117694,0.2674102568474932,,0.62721893261397,0.6661323956669605,,0.017900273507288185,0.04585434771135399,-0.016643814342063048,0.18896467907993783,0.21287638319972774,0.04319995791103146,0.34693220045451945,0.6947260525692448,0.10950878884235787,,,0.10289816037496816,0.04390508629435308,0.13150890953294478,0.7371577526501144
hc2510.SF,0.18763668788593013,0.36332492505306013,0.27584172995826717,-0.12674470538214416,0.4089868823130159,0.28045415816215374,0.4463235758353888,0.2854626232801782,1.0,0.41287269297564644,0.2651073406472418,0.9707603298907289,0.46106244691118603,0.2393183660990719,0.36617053381077697,0.5321077555841447,0.10465792814779827,0.5006332184571969,0.04239027588910923,0.13338031283847654,0.05491548696932726,0.14409512891980356,0.17763796278063643,0.39258479909229577,0.5251895245240744,-0.19073755007538984,0.787148659679622,0.7042737995442089,0.04277389057944442,0.704754886834293,0.6278610603234062,0.34678448791109356,0.010597356885163445,-0.1418277135351382,0.3059254642494917,0.26603433806128374,0.5972511327981289,0.023133687692818865,0.5906747521036354,0.2616874634792945,0.18341343575609653,0.447425373280414,0.33313739379668406,0.3282292633701622,0.6148093928799354,,,0.5004412650340905,0.0722434472238095,0.4498506891354271,0.2143849895519298,,0.42647567176833545,0.40592211820163804,,0.07056488188867474,-0.0029831380720096246,0.6296685412482839,0.5216924588324958,0.2351250651527402,0.5402627423465777,0.3014164330350919,0.4534089699768758,0.3297832392538137,,,0.40238952912273046,0.4653419692620592,0.46292163333675007,0.18442502290223953
ni2507.SF,0.3353118915342283,0.4469631599150875,0.1645123917699341,0.10869817152156828,0.21682324321080965,0.34856345178143316,0.5316841906689748,0.31049581925016106,0.41287269297564644,1.0,0.349548188986261,0.4163339195789918,0.3608833910426952,0.3452784485033064,0.3044220664093028,0.6951024820577235,-0.05339369443109757,0.4400099170292575,0.09771838509091155,0.11489967116667266,-0.1303856341429894,0.059156985784959724,0.15447081167517485,0.2695695341175253,0.42131027420836,-0.18250739632266186,0.4197095145073513,0.2741992418029889,0.05142620599878755,0.3628076160335565,0.5274547172721378,0.22242272941248367,0.07775694206900567,-0.09160099271577943,0.3221408397674526,0.22554909416180274,0.44397087786357303,0.06253361552185074,0.3858366108454274,0.41589257479753844,0.23435460928494783,0.34564707785409865,0.23772083532603708,0.32366167222151904,0.30444163645507094,,,0.4721442085049187,0.1389956876385679,0.34985535789461875,0.221809690501204,,0.47401901130546087,0.3656968519426191,,0.06093857352105931,0.14233194602127244,0.23211827724386788,0.31950090173434426,0.1909572879386229,0.3048083796180908,0.3060800212373671,0.34577114355416877,0.1848902436579566,,,0.2655466057024929,0.12834477769723823,0.1854860225668343,0.23038194128721556
